requirement_id,id_number,summary,text,context,verification,actor,conformance,conditional,source
REQ-353,353,Telecom use codes SHALL be taken from ContactPointUse value set,"""The codes SHALL be taken from [ContactPointUse] ([required] to http://hl7.org/fhir/ValueSet/contact-point-use 4.0.1)""",Required binding for contact point use values in telecom elements,Test,FHIR Client/Server implementing US Core PractitionerRole Profile,SHALL,True,Section 14.154 - PractitionerRole.telecom.use binding
REQ-354,354,Specimen status codes SHALL be taken from SpecimenStatus value set,"""The codes SHALL be taken from [SpecimenStatus](http://hl7.org/fhir/R4/valueset-specimen-status.html) ([required](http://hl7.org/fhir/R4/terminologies.html#required) to http://hl7.org/fhir/ValueSet/specimen-status 4.0.1)""",This binding requirement ensures consistent status coding for US Core Specimen Profile resources.,Test,FHIR implementer,SHALL,False,"Section 14.164, Specimen.status"
REQ-355,355,Specimen type codes SHALL be taken from specified value set unless not suitable,"""Unless not suitable, these codes SHALL be taken from [Specimen type .](https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1099.54/expansion) ([extensible](http://hl7.org/fhir/R4/terminologies.html#extensible) to http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1099.54)""",This extensible binding requirement provides standardized specimen type coding for the US Core Specimen Profile.,Test,FHIR implementer,SHALL,True,"Section 14.164, Specimen.type"
REQ-356,356,Body site codes SHALL be taken from SNOMED CT Body Structures unless not suitable,"""Unless not suitable, these codes SHALL be taken from [SNOMEDCTBodyStructures](http://hl7.org/fhir/R4/valueset-body-site.html) ([extensible](http://hl7.org/fhir/R4/terminologies.html#extensible) to http://hl7.org/fhir/ValueSet/body-site)""",This extensible binding requirement provides standardized body site coding for specimen collection sites in the US Core Specimen Profile.,Test,FHIR implementer,SHALL,True,"Section 14.164, Specimen.collection.bodySite"
REQ-357,357,Specimen condition codes SHALL be taken from US Core Specimen Condition value set unless not suitable,"""Unless not suitable, these codes SHALL be taken from [US Core Specimen Condition](ValueSet-us-core-specimen-condition.html) ([extensible](http://hl7.org/fhir/R4/terminologies.html#extensible) to http://hl7.org/fhir/us/core/ValueSet/us-core-specimen-condition)""",This extensible binding requirement provides standardized specimen condition coding for the US Core Specimen Profile.,Test,FHIR implementer,SHALL,True,"Section 14.164, Specimen.condition"
REQ-358,358,Clinical status presence requirement for conditions not entered-in-error,"""Condition.clinicalStatus SHALL be present if verificationStatus is not entered-in-error and category is problem-list-item""",US Core Condition Encounter Diagnosis Profile requiring clinical status to be populated when the condition is verified and categorized as a problem list item,Test,FHIR implementer,SHALL,True,Section 14.124 - Condition invariant con-3
REQ-359,359,Clinical status requirement for abated conditions,"""If condition is abated, then clinicalStatus must be either inactive, resolved, or remission""",US Core Condition Encounter Diagnosis Profile requiring appropriate clinical status when a condition has abated,Test,FHIR implementer,SHALL,True,Section 14.124 - Condition invariant con-4
REQ-360,360,Clinical status prohibition for entered-in-error conditions,"""Condition.clinicalStatus SHALL NOT be present if verification Status is entered-in-error""",US Core Condition Encounter Diagnosis Profile prohibiting clinical status when verification status indicates data entry error,Test,FHIR implementer,SHALL NOT,True,Section 14.124 - Condition invariant con-5
REQ-361,361,Clinical status value set binding requirement,"""The codes SHALL be taken from ConditionClinicalStatusCodes""",US Core Condition Encounter Diagnosis Profile requiring specific value set for clinical status codes,Test,FHIR implementer,SHALL,True,Section 14.124 - Condition.clinicalStatus binding
REQ-362,362,Verification status value set binding requirement,"""The codes SHALL be taken from ConditionVerificationStatus""",US Core Condition Encounter Diagnosis Profile requiring specific value set for verification status codes,Test,FHIR implementer,SHALL,True,Section 14.124 - Condition.verificationStatus binding
REQ-363,363,Category value set binding requirement,"""Unless not suitable, these codes SHALL be taken from ConditionCategoryCodes""",US Core Condition Encounter Diagnosis Profile requiring specific value set for category codes with extensible binding,Test,FHIR implementer,SHALL,True,Section 14.124 - Condition.category binding
REQ-364,364,Stage summary or assessment requirement,"""Stage SHALL have summary or assessment""",US Core Condition Encounter Diagnosis Profile requiring stage to include either summary or assessment,Test,FHIR implementer,SHALL,True,Section 14.124 - Condition.stage invariant con-1
REQ-365,365,Evidence code or detail requirement,"""evidence SHALL have code or details""",US Core Condition Encounter Diagnosis Profile requiring evidence to include either code or detail,Test,FHIR implementer,SHALL,True,Section 14.124 - Condition.evidence invariant con-2
REQ-366,366,Clinical status must be present when verification status is not entered-in-error,"""AllergyIntolerance.clinicalStatus SHALL be present if verificationStatus is not entered-in-error. (verificationStatus.coding.where(system = 'http://terminology.hl7.org/CodeSystem/allergyintolerance-verification' and code = 'entered-in-error').exists() or clinicalStatus.exists())""",Invariant rule for USCore AllergyIntolerance profile ensuring clinical status is provided unless the allergy/intolerance record is marked as entered-in-error,Test,System implementing USCore AllergyIntolerance profile,SHALL,True,AllergyIntolerance invariant ait-1
REQ-367,367,Clinical status must not be present when verification status is entered-in-error,"""AllergyIntolerance.clinicalStatus SHALL NOT be present if verification Status is entered-in-error (verificationStatus.coding.where(system = 'http://terminology.hl7.org/CodeSystem/allergyintolerance-verification' and code = 'entered-in-error').empty() or clinicalStatus.empty())""",Invariant rule for USCore AllergyIntolerance profile ensuring clinical status is omitted when the allergy/intolerance record is marked as entered-in-error,Test,System implementing USCore AllergyIntolerance profile,SHALL NOT,True,AllergyIntolerance invariant ait-2
REQ-368,368,Clinical status codes must be taken from required value set,"""The codes SHALL be taken from [AllergyIntoleranceClinicalStatusCodes](http://hl7.org/fhir/R4/valueset-allergyintolerance-clinical.html) ([required](http://hl7.org/fhir/R4/terminologies.html#required) to http://hl7.org/fhir/ValueSet/allergyintolerance-clinical)""",Binding requirement for clinicalStatus element in USCore AllergyIntolerance profile,Test,System implementing USCore AllergyIntolerance profile,SHALL,False,AllergyIntolerance.clinicalStatus binding
REQ-369,369,Verification status codes must be taken from required value set,"""The codes SHALL be taken from [AllergyIntoleranceVerificationStatusCodes](http://hl7.org/fhir/R4/valueset-allergyintolerance-verification.html) ([required](http://hl7.org/fhir/R4/terminologies.html#required) to http://hl7.org/fhir/ValueSet/allergyintolerance-verification)""",Binding requirement for verificationStatus element in USCore AllergyIntolerance profile,Test,System implementing USCore AllergyIntolerance profile,SHALL,False,AllergyIntolerance.verificationStatus binding
REQ-370,370,Allergy/intolerance codes should be taken from extensible value set unless not suitable,"""Unless not suitable, these codes SHALL be taken from [Common substances for allergy and intolerance documentation including refutations .](https://vsac.nlm.nih.gov/valueset/",,,,,,
REQ-371,371,Servers providing careteam data must support US Core SMART Scopes,"""Servers providing access to careteam data SHALL support these US Core SMART Scopes: resource level scopes: <patient user system>/CareTeam.rs""",US Core Scopes requirements for server access control,Test,Servers providing access to careteam data,SHALL,False,Section 14.123.3.1 US Core Scopes
REQ-372,372,Servers must support search by patient and status parameters,"""SHALL support searching using the combination of the patient and status search parameters""",Mandatory Search Parameters for CareTeam resources,Test,Server systems implementing US Core CareTeam Profile,SHALL,False,Section 14.123.3.2 Mandatory Search Parameters
REQ-373,373,DiagnosticReport effective[x] SHALL be present for specific status values,"""effective[x] SHALL be present if the status is 'partial', 'preliminary', 'final', 'amended', 'corrected' or 'appended' ((status='partial' or status='preliminary' or status='final' or status='amended' or status='corrected' or status='appended') implies effective.exists())""",US Core specific requirement ensuring effective time is provided for diagnostic reports with specific status values,Test,System implementing DiagnosticReport,SHALL,True,"Section 14.128, DiagnosticReport invariant us-core-10"
REQ-374,374,DiagnosticReport status codes SHALL be taken from DiagnosticReportStatus value set,"""The codes SHALL be taken from DiagnosticReportStatus ([required] to http://hl7.org/fhir/ValueSet/diagnostic-report-status)""",Terminology binding requirement for DiagnosticReport.status field,Test,System implementing DiagnosticReport,SHALL,False,"Section 14.128, DiagnosticReport.status binding"
REQ-375,375,DiagnosticReport category us-core slice SHALL use US Core diagnostic report categories,"""The codes SHALL be taken from US Core Diagnostic Report Category Codes ([required] to http://hl7.org/fhir/us/core/ValueSet/us-core-diagnosticreport-category)""",Terminology binding requirement for the us-core slice of DiagnosticReport.category,Test,System implementing DiagnosticReport,SHALL,False,"Section 14.128, DiagnosticReport.category:us-core binding"
REQ-376,376,Systems SHALL be capable of sending local codes for DiagnosticReport.code,"""Systems SHALL be capable of sending the local code if one exists""",Code handling requirement for DiagnosticReport.code to support local coding systems,Test,System implementing DiagnosticReport,SHALL,True,"Section 14.128, DiagnosticReport.code comments"
REQ-377,377,DiagnosticReport.code SHALL use US Core Non Laboratory Codes unless not suitable,"""Unless not suitable, these codes SHALL be taken from US Core Non Laboratory Codes ([extensible] to http://hl7.org/fhir/us/core/ValueSet/us-core-diagnosticreport-report-and-note-codes)""",Terminology binding requirement for DiagnosticReport.code with extensible binding,Test,System implementing DiagnosticReport,SHALL,True,"Section 14.128, DiagnosticReport.code binding"
REQ-378,378,DiagnosticReport presentedForm formats SHALL be semantically equivalent,"""Multiple formats are allowed but they SHALL be semantically equivalent""",Requirement for maintaining semantic equivalence across multiple presented forms of the diagnostic report,Test,System implementing DiagnosticReport,SHALL,True,"Section 14.128, DiagnosticReport.presentedForm definition"
REQ-379,379,Applications SHALL check for modifier extensions in DiagnosticReport,"""Applications processing a resource are required to check for modifier extensions. Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself)""",FHIR modifier extension processing requirement for DiagnosticReport resources,Test,Applications processing DiagnosticReport resources,SHALL,False,"Section 14.128, DiagnosticReport.modifierExtension definition"
REQ-380,380,Performed element shall be present for completed or in-progress procedures,"""Performed SHALL be present if the status is 'completed' or 'in-progress' ((status='completed' or status='in-progress') implies performed.exists())""",This requirement ensures that timing information is captured for procedures that have been completed or are currently in progress within the US Core Procedure Profile.,Test,System implementing US Core Procedure Profile,SHALL,True,"Section 14.155, Invariant us-core-7"
REQ-381,381,Status codes shall be taken from EventStatus value set,"""The codes SHALL be taken from [EventStatus](http://hl7.org/fhir/R4/valueset-event-status.html) ([required](http://hl7.org/fhir/R4/terminologies.html#required) to http://hl7.org/fhir/ValueSet/event-status)""",This requirement constrains the allowable values for the procedure status element in the US Core Procedure Profile to ensure standardized status reporting.,Test,System implementing US Core Procedure Profile,SHALL,False,"Section 14.155, Procedure.status"
REQ-382,382,Procedure codes should be taken from US Core Procedure Codes value set,"""The codes SHOULD be taken from [US Core Procedure Codes](ValueSet-us-core-procedure-code.html) ([preferred](http://hl7.org/fhir/R4/terminologies.html#preferred) to http://hl7.org/fhir/us/core/ValueSet/us-core-procedure-code)""",This requirement provides guidance for coding procedures within the US Core Procedure Profile using standardized terminology.,Test,System implementing US Core Procedure Profile,SHOULD,False,"Section 14.155, Procedure.code"
REQ-383,383,Reason codes shall be taken from US Core Condition Codes unless not suitable,"""Unless not suitable, these codes SHALL be taken from [US Core Condition Codes](ValueSet-us-core-condition-code.html) ([extensible](http://hl7.org/fhir/R4/terminologies.html#extensible) to http://hl7.org/fhir/us/core/ValueSet/us-core-condition-code)""",This requirement constrains the coding of procedure reason codes within the US Core Procedure Profile to ensure standardized reason reporting with flexibility for unsuitable cases.,Test,System implementing US Core Procedure Profile,SHALL,True,"Section 14.155, Procedure.reasonCode"
REQ-384,384,Device action codes should be taken from ProcedureDeviceActionCodes value set,"""The codes SHOULD be taken from [ProcedureDeviceActionCodes](http://hl7.org/fhir/R4/valueset-device-action.html) ([preferred](http://hl7.org/fhir/R4/terminologies.html#preferred) to http://hl7.org/fhir/ValueSet/device-action)""",This requirement provides guidance for coding device actions during procedures within the US Core Procedure Profile focal device elements.,Test,System implementing US Core Procedure Profile,SHOULD,True,"Section 14.155, Procedure.focalDevice.action"
REQ-385,385,URI usage requirement for US Core defined code systems,"""If a URI is listed here, it SHALL be used in the US Core profiles to identify the code system in preference to any other code system URI.""",Code system identification requirements for US Core profiles to ensure consistent terminology reference,Test/Inspection,US Core profile implementers,SHALL,True,Section 7.1.2 Code Systems
REQ-386,386,FHIR URI code system usage requirement over VSAC identifiers,"""However, these code system identifiers [VSAC Code System OIDs and names] SHOULD NOT be used. The FHIR URIs code systems are defined as part of FHIR and SHOULD be used instead.""",Code system identifier preference when accessing value sets through VSAC to maintain FHIR compliance,Test/Inspection,FHIR implementers accessing VSAC,SHOULD NOT/SHOULD,False,Section 7.1.3.1 How to Access Value Sets in VSAC
REQ-387,387,US Core Goal Profile SHALL be present with minimum expectations,"""This profile sets minimum expectations for the Goal resource to record, search, and fetch Goal information associated with a patient. It specifies which core elements, extensions, vocabularies, and value sets SHALL be present and constrains how the elements are used.""",The US Core Goal Profile inherits from the FHIR Goal resource and defines minimum expectations for interoperability in US healthcare systems,Test,Systems implementing US Core Goal Profile,SHALL,False,Section 14.131 Resource Profile
REQ-388,388,Server system SHALL support at least one of startDate or target dueDate elements,"""Although both Goal.startDate and Goal.target.dueDate are marked as Must Support, the Server system is not required to support both, but SHALL support at least one of these elements.""",Must Support elements for date tracking in Goal resources,Test,Server system,SHALL,False,Section 14.131.1 Profile Specific Implementation Guidance
REQ-389,389,Client application SHALL support both startDate and target dueDate elements,"""The Client application SHALL support both elements [Goal.startDate and Goal.target.dueDate].""",Must Support elements for date tracking in Goal resources,Test,Client application,SHALL,False,Section 14.131.1 Profile Specific Implementation Guidance
REQ-390,390,Servers SHALL support US Core Goal SMART Scopes,"""Servers providing access to goal data SHALL support these [US Core SMART Scopes]""",Authorization and access control for Goal resources,Test,Servers providing access to goal data,SHALL,False,Section 14.131.3.1 US Core Scopes
REQ-391,391,SHALL support searching for all goals by patient parameter,"""SHALL support searching for all goals for a patient using the [patient] search parameter: GET [base]/Goal?patient={Type/}[id]""",Mandatory search parameters for Goal resources,Test,Systems supporting Goal search,SHALL,False,Section 14.131.3.2 Mandatory Search Parameters
REQ-392,392,SHOULD support searching using patient and lifecycle-status parameters,"""SHOULD support searching using the combination of the [patient] and [lifecycle-status] search parameters: GET [base]/Goal?patient={Type/}[id]&lifecycle-status={system }[code]""",Optional search parameters for enhanced Goal resource filtering,Test,Systems supporting Goal search,SHOULD,False,Section 14.131.3.3 Optional Search Parameters
REQ-393,393,SHOULD support searching using patient and target-date parameters with comparators,"""SHOULD support searching using the combination of the [patient] and [target-date] search parameters: including support for these target-date comparators: gt,lt,ge,le""",Optional search parameters for date-based Goal resource filtering,Test,Systems supporting Goal search,SHOULD,False,Section 14.131.3.3 Optional Search Parameters
REQ-394,394,SHOULD support searching using patient and Text parameters,"""SHOULD support searching using the combination of the [patient] and [Text] search parameters: GET [base]/Goal?patient={Type/}[id]&Text={system }[code]""",Optional search parameters for Text-based Goal resource filtering,Test,Systems supporting Goal search,SHOULD,False,Section 14.131.3.3 Optional Search Parameters
REQ-395,395,DiagnosticReport resource SHALL NOT contain nested resources if contained in another resource,"""If the resource is contained in another resource, it SHALL NOT contain nested Resources (contained.contained.empty())""",FHIR invariant for DiagnosticReport resources that are contained within other resources to prevent circular containment,Test,System implementing US Core DiagnosticReport Profile Laboratory Reporting,SHALL,False,Section 14.127 - Invariant dom-2
REQ-396,396,Contained DiagnosticReport SHALL be referenced from elsewhere in resource or refer to containing resource,"""If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource""",FHIR invariant ensuring contained resources are properly referenced to maintain referential integrity,Test,System implementing US Core DiagnosticReport Profile Laboratory Reporting,SHALL,True,Section 14.127 - Invariant dom-3
REQ-397,397,Contained DiagnosticReport SHALL NOT have meta.versionId or meta.lastUpdated,"""If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated (contained.meta.versionId.empty() and contained.meta.lastUpdated.empty())""",FHIR invariant preventing version tracking metadata on contained resources,Test,System implementing US Core DiagnosticReport Profile Laboratory Reporting,SHALL,True,Section 14.127 - Invariant dom-4
REQ-398,398,Contained DiagnosticReport SHALL NOT have security label,"""If a resource is contained in another resource, it SHALL NOT have a security label (contained.meta.security.empty())""",FHIR invariant preventing security labels on contained resources,Test,System implementing US Core DiagnosticReport Profile Laboratory Reporting,SHALL,True,Section 14.127 - Invariant dom-5
REQ-399,399,DiagnosticReport effective[x] SHALL be present for specific status values,"""effective[x] SHALL be present if the status is 'partial', 'preliminary', 'final', 'amended', 'corrected' or 'appended' ((status='partial' or status='preliminary' or status='final' or status='amended' or status='corrected' or status='appended' ) implies effective.exists())""",US Core specific requirement ensuring diagnostic reports have effective time for certain status values,Test,System implementing US Core DiagnosticReport Profile Laboratory Reporting,SHALL,True,Section 14.127 - Invariant us-core-8
REQ-400,400,DiagnosticReport issued SHALL be present for specific status values,"""issued SHALL be present if the status is 'partial', 'preliminary', 'final', 'amended', 'corrected' or 'appended' ((status='partial' or status='preliminary' or status='final' or status='amended' or status='corrected' or status='appended' ) implies issued.exists())""",US Core specific requirement ensuring diagnostic reports have issued time for certain status values,Test,System implementing US Core DiagnosticReport Profile Laboratory Reporting,SHALL,True,Section 14.127 - Invariant us-core-9
REQ-401,401,DiagnosticReport status codes SHALL be taken from DiagnosticReportStatus value set,"""The codes SHALL be taken from DiagnosticReportStatus""",Binding requirement for status element to use required terminology from FHIR DiagnosticReportStatus value set,Test,System implementing US Core DiagnosticReport Profile Laboratory Reporting,SHALL,False,Section 14.127 - DiagnosticReport.status binding
REQ-402,402,DiagnosticReport code SHALL be taken from US Core Laboratory Test Codes unless not suitable,"""Unless not suitable, these codes SHALL be taken from US Core Laboratory Test Codes""",Extensible binding requirement for diagnostic report code element to US Core Laboratory Test Codes value set,Test,System implementing US Core DiagnosticReport Profile Laboratory Reporting,SHALL,True,Section 14.127 - DiagnosticReport.code binding
REQ-403,403,Systems SHALL be capable of sending local code if one exists,"""Systems SHALL be capable of sending the local code if one exists""",US Core requirement for systems to include local laboratory codes when available in addition to standard codes,Test,System implementing US Core DiagnosticReport Profile Laboratory Reporting,SHALL,True,Section 14.127 - DiagnosticReport.code comments
REQ-404,404,Applications processing DiagnosticReport SHALL check for modifier extensions,"""Applications processing a resource are required to check for modifier extensions. Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself)""",FHIR requirement for applications to handle modifier extensions properly without changing core element meanings,Test,Application processing US Core DiagnosticReport Profile Laboratory Reporting,SHALL,False,Section 14.127 - DiagnosticReport.modifierExtension definition
REQ-405,405,Device status codes must be from required value set,"""The codes SHALL be taken from [FHIRDeviceStatus](http://hl7.org/fhir/R4/valueset-device-status.html) ([required](http://hl7.org/fhir/R4/terminologies.html#required) to http://hl7.org/fhir/ValueSet/device-status 4.0.1)""",Device.status element binding requirement for device availability status values,Test,System implementer,SHALL,True,"Section 14.135, Device.status binding"
REQ-406,406,Device type codes must be from extensible value set,"""Unless not suitable, these codes SHALL be taken from [FHIRDeviceTypes](http://hl7.org/fhir/R4/valueset-device-kind.html) ([extensible](http://hl7.org/fhir/R4/terminologies.html#extensible) to http://hl7.org/fhir/ValueSet/device-kind)""",Device.type element binding requirement for device type/kind codes,Test,System implementer,SHALL,False,"Section 14.135, Device.type binding"
REQ-407,407,UDI entry type codes must be from required value set,"""The codes SHALL be taken from [UDIEntryType](http://hl7.org/fhir/R4/valueset-udi-entry-type.html) ([required](http://hl7.org/fhir/R4/terminologies.html#required) to http://hl7.org/fhir/ValueSet/udi-entry-type 4.0.1)""",Device.udiCarrier.entryType element binding requirement for UDI data entry method codes,Test,System implementer,SHALL,True,"Section 14.135, Device.udiCarrier.entryType binding"
REQ-408,408,Device name type codes must be from required value set,"""The codes SHALL be taken from [DeviceNameType](http://hl7.org/fhir/R4/valueset-device-nametype.html) ([required](http://hl7.org/fhir/R4/terminologies.html#required) to http://hl7.org/fhir/ValueSet/device-nametype 4.0.1)""",Device.deviceName.type element binding requirement for device name type classification,Test,System implementer,SHALL,True,"Section 14.135, Device.deviceName.type binding"
REQ-409,409,AIDC formats must be base64 encoded,"""Because of limitations on character sets in XML and the need to round-trip JSON data through XML, AIDC Formats *SHALL* be base64 encoded.""",Device.udiCarrier.carrierAIDC element encoding requirement for automatic identification and data capture formats,Test,System implementer,SHALL,True,"Section 14.135, Device.udiCarrier.carrierAIDC"
REQ-410,410,Applications must check for modifier extensions,"""Applications processing a resource are required to check for modifier extensions. Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).""",Modifier extension processing requirement for maintaining resource integrity,Test,System implementer,SHALL,False,"Section 14.135, Device.modifierExtension"
REQ-411,411,ServiceRequest resource SHALL conform to contained resource restrictions,"""If the resource is contained in another resource, it SHALL NOT contain nested Resources (contained.contained.empty())""",Part of dom-2 invariant for ServiceRequest resource profile defining containment rules for nested resources,Test,FHIR Implementation,SHALL,False,Section 14.161 ServiceRequest invariants
REQ-412,412,ServiceRequest resource SHALL be properly referenced when contained,"""If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource""",Part of dom-3 invariant for ServiceRequest resource profile defining reference requirements for contained resources,Test,FHIR Implementation,SHALL,True,Section 14.161 ServiceRequest invariants
REQ-413,413,Contained ServiceRequest SHALL not have version or lastUpdated metadata,"""If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated (contained.meta.versionId.empty() and contained.meta.lastUpdated.empty())""",Part of dom-4 invariant for ServiceRequest resource profile defining metadata restrictions for contained resources,Test,FHIR Implementation,SHALL,True,Section 14.161 ServiceRequest invariants
REQ-414,414,Contained ServiceRequest SHALL not have security labels,"""If a resource is contained in another resource, it SHALL NOT have a security label (contained.meta.security.empty())""",Part of dom-5 invariant for ServiceRequest resource profile defining security label restrictions for contained resources,Test,FHIR Implementation,SHALL,True,Section 14.161 ServiceRequest invariants
REQ-415,415,ServiceRequest orderDetail SHALL only be present if code is present,"""orderDetail SHALL only be present if code is present (orderDetail.empty() or code.exists())""",Part of prr-1 invariant for ServiceRequest resource profile defining dependency between orderDetail and code elements,Test,FHIR Implementation,SHALL,False,Section 14.161 ServiceRequest invariants
REQ-416,416,ServiceRequest status codes SHALL be taken from RequestStatus value set,"""The codes SHALL be taken from [RequestStatus]""",Binding requirement for ServiceRequest.status element to ensure proper status codes are used,Test,FHIR Implementation,SHALL,False,Section 14.161 ServiceRequest.status
REQ-417,417,ServiceRequest intent codes SHALL be taken from RequestIntent value set,"""The codes SHALL be taken from [RequestIntent]""",Binding requirement for ServiceRequest.intent element to ensure proper intent codes are used,Test,FHIR Implementation,SHALL,False,Section 14.161 ServiceRequest.intent
REQ-418,418,ServiceRequest category us-core slice codes SHALL be taken from US Core ServiceRequest Category Codes,"""The codes SHALL be taken from [US Core ServiceRequest Category Codes]""",Binding requirement for ServiceRequest.category:us-core slice to ensure proper category codes are used for US Core conformance,Test,FHIR Implementation,SHALL,False,Section 14.161 ServiceRequest.category:us-core
REQ-419,419,ServiceRequest code SHALL be taken from US Core Procedure Codes unless not suitable,"""Unless not suitable, these codes SHALL be taken from [US Core Procedure Codes]""",Extensible binding requirement for ServiceRequest.code element allowing flexibility when standard codes are not suitable,Test,FHIR Implementation,SHALL,True,Section 14.161 ServiceRequest.code
REQ-420,420,ServiceRequest reasonCode SHALL be taken from US Core Condition Codes unless not suitable,"""Unless not suitable, these codes SHALL be taken from [US Core Condition Codes]""",Extensible binding requirement for ServiceRequest.reasonCode element allowing flexibility when standard codes are not suitable,Test,FHIR Implementation,SHALL,True,Section 14.161 ServiceRequest.reasonCode
REQ-421,421,Applications processing ServiceRequest SHALL check for modifier extensions,"""Applications processing a resource are required to check for modifier extensions. Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).""",General requirement for processing ServiceRequest resources with modifier extensions to ensure proper interpretation,Test,FHIR Application,SHALL,False,Section 14.161 ServiceRequest.modifierExtension
REQ-422,422,Extension requirements SHALL be met for ServiceRequest extensions,"""Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.""",General requirement for defining extensions on ServiceRequest resources to ensure proper governance,Test,FHIR Implementer,SHALL,True,Section 14.161 ServiceRequest.extension
REQ-423,423,Contained resources shall not contain nested resources,"""If the resource is contained in another resource, it SHALL NOT contain nested Resources (contained.contained.empty())""",Invariant dom-2 applies to the USCoreObservationSexualOrientationProfile to ensure proper containment hierarchy,Test,Systems implementing USCoreObservationSexualOrientationProfile,SHALL,False,"Section 14.147, Invariant dom-2"
REQ-424,424,Contained resources shall be referenced from elsewhere or refer to containing resource,"""If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource""",Invariant dom-3 applies to the USCoreObservationSexualOrientationProfile to ensure contained resources are properly referenced,Test,Systems implementing USCoreObservationSexualOrientationProfile,SHALL,False,"Section 14.147, Invariant dom-3"
REQ-425,425,Contained resources shall not have meta.versionId or meta.lastUpdated,"""If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated (contained.meta.versionId.empty() and contained.meta.lastUpdated.empty())""",Invariant dom-4 applies to the USCoreObservationSexualOrientationProfile to restrict metadata on contained resources,Test,Systems implementing USCoreObservationSexualOrientationProfile,SHALL,False,"Section 14.147, Invariant dom-4"
REQ-426,426,Contained resources shall not have security labels,"""If a resource is contained in another resource, it SHALL NOT have a security label (contained.meta.security.empty())""",Invariant dom-5 applies to the USCoreObservationSexualOrientationProfile to restrict security labels on contained resources,Test,Systems implementing USCoreObservationSexualOrientationProfile,SHALL,False,"Section 14.147, Invariant dom-5"
REQ-427,427,dataAbsentReason shall only be present if value is not present,"""dataAbsentReason SHALL only be present if Observation.value[x] is not present (dataAbsentReason.empty() or value.empty())""",Invariant obs-6 applies to the USCoreObservationSexualOrientationProfile to ensure proper use of dataAbsentReason,Test,Systems implementing USCoreObservationSexualOrientationProfile,,,
REQ-428,428,Evidence code or detail requirement,"""evidence SHALL have code or details""","This requirement ensures that when evidence is provided in the USCoreConditionProblemsHealthConcernsProfile, it includes either coded information or detailed references",Test,FHIR Server/Client implementing USCoreConditionProblemsHealthConcernsProfile,SHALL,True,Section 14.125 - Invariant con-2
REQ-429,429,US Core Immunization resource SHALL have additional NDC coding when CVX coding exists,"""SHOULD have an additional coding to the NDC value set (vaccineCode.coding.where(system='http://hl7.org/fhir/sid/cvx').exists() implies vaccineCode.coding.where(system='http://hl7.org/fhir/sid/ndc').exists())""","This is an invariant (us-core-5) that applies to the US Core Immunization Profile, requiring that when a CVX (vaccine code) coding is present in the vaccineCode element, there should also be an NDC (National Drug Code) coding present",Test,US Core Immunization implementers,SHOULD,False,"Section 14.134, Immunization invariant us-core-5"
REQ-430,430,Immunization status codes SHALL be taken from required value set,"""The codes SHALL be taken from [ImmunizationStatusCodes](http://hl7.org/fhir/R4/valueset-immunization-status.html) ([required](http://hl7.org/fhir/R4/terminologies.html#required) to http://hl7.org/fhir/ValueSet/immunization-status)""",The status element in US Core Immunization must use codes from the specified FHIR value set for immunization status,Test,US Core Immunization implementers,SHALL,False,"Section 14.134, Immunization.status binding"
REQ-431,431,Vaccine codes SHALL be taken from CVX value set unless not suitable,"""Unless not suitable, these codes SHALL be taken from [CVX Vaccines Administered Vaccine Set](https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1010.6/expansion) ([extensible](http://hl7.org/fhir/R4/terminologies.html#extensible) to http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1010.6)""","The vaccineCode element binding requires use of CVX codes unless they are not suitable, with extensible binding strength",Test,US Core Immunization implementers,SHALL,True,"Section 14.134, Immunization.vaccineCode binding"
REQ-432,432,Educational material SHALL have either documentType or reference,"""One of documentType or reference SHALL be present (documentType.exists() or reference.exists())""",This is an invariant (imm-1) for the education element requiring at least one of documentType or reference to be populated,Test,US Core Immunization implementers using education element,SHALL,True,"Section 14.134, Immunization.education invariant imm-1"
REQ-433,433,Location status code value binding requirement,"""The codes SHALL be taken from LocationStatus""",US Core Location Profile status field value set binding for location availability status,Test,Location resource implementer,SHALL,True,"Section 14.137, Location.status binding"
